aX,aY,aZ,gX,gY,gZ
0.943,0.034,0.212,-10.803,12.451,6.042
0.946,0.036,0.198,-7.812,8.789,4.028
0.941,0.033,0.189,-4.028,9.277,2.441
0.937,0.018,0.177,-2.258,5.798,0.549
0.943,-0.001,0.187,-0.305,5.432,0.000
0.941,-0.034,0.205,1.343,1.770,-0.244
0.938,-0.051,0.181,2.075,4.395,1.038
0.939,-0.045,0.191,1.343,1.831,2.991
0.949,-0.005,0.204,0.000,1.160,4.639
0.954,-0.008,0.233,2.441,-0.671,4.883
0.966,0.004,0.240,2.197,0.122,4.456
0.964,0.049,0.241,3.113,0.977,4.150
0.964,0.042,0.265,3.052,-1.282,1.953
0.959,0.025,0.238,2.319,2.258,0.244
0.959,-0.011,0.222,1.709,1.099,-0.671
0.957,-0.016,0.238,-1.404,1.404,0.061
0.962,-0.019,0.233,-4.333,2.075,1.587
0.963,-0.032,0.241,-7.263,1.282,2.502

1.140,1.495,0.272,25.940,-85.083,-15.869
1.137,1.605,0.196,54.993,-81.421,-57.861
1.069,1.612,0.217,84.656,-87.891,-104.126
1.019,1.708,0.324,105.347,-92.957,-147.034
0.936,1.552,0.388,115.417,-91.675,-193.665
0.824,1.151,0.420,115.662,-89.722,-237.427
0.789,0.743,0.623,98.633,-90.332,-266.296
0.723,0.541,0.927,77.026,-86.304,-280.701
0.703,0.533,1.114,63.660,-66.833,-290.405
0.623,0.626,1.298,63.904,-45.288,-305.298
0.565,0.697,1.638,57.190,-25.574,-324.768
0.362,0.629,2.089,35.034,1.099,-343.140
0.239,0.017,2.522,1.770,44.983,-366.272
0.061,-0.667,2.737,-25.635,103.027,-373.047
-0.015,-1.294,2.700,-39.185,170.959,-359.741
-0.088,-1.923,2.572,-36.743,228.760,-336.121
-0.202,-2.321,2.188,-32.959,284.302,-295.776
-0.297,-2.499,1.691,-25.818,326.050,-242.249
-0.326,-2.529,1.368,-18.494,347.168,-188.843
-0.333,-2.379,1.184,-5.737,354.004,-138.794
-0.409,-2.090,0.983,15.503,358.704,-96.008
-0.451,-1.774,0.766,29.114,364.136,-61.584
-0.460,-1.759,0.584,35.034,365.173,-43.701
-0.506,-1.854,0.431,41.199,365.906,-28.137
-0.557,-1.830,0.283,36.987,360.962,-5.432
-0.545,-1.814,0.147,39.795,356.140,17.029
-0.552,-1.766,0.046,50.659,343.140,37.903
-0.536,-1.732,-0.150,59.204,334.045,59.143
-0.508,-1.809,-0.261,61.951,319.397,79.041
-0.482,-1.843,-0.196,61.523,302.063,103.455
-0.469,-1.752,-0.201,69.275,295.898,135.315
-0.465,-1.513,-0.347,92.224,290.100,168.396
-0.460,-1.281,-0.481,111.938,281.860,194.580
-0.472,-1.077,-0.598,129.456,270.996,214.355
-0.528,-0.991,-0.788,139.587,263.550,230.042
-0.575,-0.969,-0.993,139.099,253.906,245.178
-0.608,-0.882,-1.130,135.010,238.770,265.259
-0.635,-0.700,-1.208,126.648,217.773,287.842
-0.610,-0.423,-1.284,116.028,196.411,308.167
-0.556,-0.048,-1.395,111.328,174.072,320.740
-0.497,0.325,-1.519,116.821,150.635,319.946
-0.432,0.533,-1.646,127.930,123.657,298.889
-0.362,0.616,-1.768,143.066,94.971,267.822
-0.338,0.597,-1.947,153.931,64.758,236.755
-0.362,0.527,-2.257,163.879,30.396,209.045
-0.347,0.444,-2.417,163.391,-14.099,188.110
-0.294,0.380,-2.293,166.199,-71.960,172.607
-0.280,0.478,-2.081,177.612,-127.808,162.781
-0.234,0.738,-1.913,178.528,-170.593,154.480
-0.170,1.009,-1.833,169.495,-206.787,142.456
-0.098,1.155,-1.709,155.457,-239.197,125.183
-0.029,1.201,-1.459,142.517,-272.095,103.577
0.011,1.274,-1.258,132.507,-298.706,81.360
0.072,1.350,-1.114,124.329,-320.190,57.556
0.121,1.287,-0.907,116.089,-340.393,27.405
0.216,1.275,-0.607,109.802,-358.032,1.587
0.338,1.365,-0.227,105.469,-367.310,-15.869
0.459,1.385,0.121,109.314,-369.263,-36.621
0.522,1.275,0.244,117.798,-355.591,-63.416
0.534,1.097,0.234,124.146,-338.623,-91.003
0.527,0.854,0.260,128.540,-330.200,-113.464
0.594,0.572,0.473,129.761,-325.134,-126.770
0.621,0.670,0.754,127.319,-320.618,-124.817
0.688,0.566,0.944,127.869,-307.434,-132.019
0.735,0.573,1.067,124.939,-285.156,-142.090
0.768,0.478,1.138,129.150,-260.132,-152.222
0.769,0.294,1.132,127.258,-233.093,-164.307
