aX,aY,aZ,gX,gY,gZ
0.071,-1.257,-0.886,-93.506,-154.663,-118.164
0.097,-1.227,-0.916,-93.384,-161.621,-95.886
0.099,-1.314,-0.850,-94.482,-176.270,-76.843
0.064,-1.496,-0.867,-96.436,-191.040,-55.786
0.053,-1.569,-0.916,-98.877,-199.646,-26.733
0.070,-1.672,-0.812,-98.877,-218.079,5.371
0.108,-1.693,-0.565,-92.346,-239.380,38.269
0.150,-1.547,-0.408,-77.209,-247.559,71.777
0.247,-1.401,-0.182,-57.800,-251.221,95.276
0.232,-1.315,-0.129,-37.048,-251.099,109.619
0.211,-1.242,-0.169,-20.874,-245.483,122.925
0.177,-1.117,-0.196,-20.020,-240.540,138.794
0.205,-0.936,-0.106,-25.574,-239.380,154.297
0.293,-0.575,0.102,-26.367,-238.708,169.800
0.387,-0.420,0.297,-18.433,-230.530,169.617
0.465,-0.447,0.444,-9.583,-217.834,159.302
0.477,-0.474,0.416,2.930,-199.280,148.804
0.464,-0.734,0.215,13.306,-180.847,142.456
0.539,-0.782,0.302,14.160,-179.626,153.442
0.575,-0.768,0.531,13.184,-174.133,163.574
0.565,-0.906,0.476,13.306,-161.011,171.387
0.637,-0.739,0.646,14.099,-152.039,189.819
0.635,-0.745,0.798,16.235,-138.245,200.012
0.639,-0.647,0.803,10.254,-116.760,210.754
0.630,-0.341,0.732,5.005,-91.370,224.426
0.676,0.147,0.722,-2.563,-72.571,232.605
0.758,0.502,0.812,-9.644,-53.406,225.098
0.834,0.737,0.891,-12.024,-37.903,203.552
0.918,1.002,0.838,-5.920,-20.325,177.307
1.001,1.115,0.787,3.296,-9.033,145.264
1.037,0.775,0.778,9.277,-0.732,103.760
1.065,0.409,0.742,13.184,11.108,69.336
1.066,0.171,0.577,17.700,24.597,52.429
1.067,0.189,0.486,12.817,38.940,49.561
1.025,0.120,0.334,3.418,47.668,45.593
0.997,-0.042,0.153,-5.432,50.476,38.330
0.995,0.062,0.090,-18.799,51.331,44.617
1.001,0.250,0.063,-32.837,46.509,52.002
1.001,0.378,0.070,-41.626,39.856,50.598
1.003,0.392,0.048,-43.579,37.598,40.771
1.004,0.299,0.032,-43.152,34.363,30.090
1.013,0.221,0.029,-37.415,26.123,22.644
1.018,0.203,0.055,-26.917,18.311,18.738
1.022,0.148,0.056,-15.991,15.015,14.160
1.036,0.134,0.064,-6.592,13.794,11.047
1.036,0.133,0.077,0.671,10.071,9.033
1.022,0.111,0.052,4.089,7.751,6.531
1.013,0.092,0.002,4.211,8.850,6.042
1.014,0.115,0.026,1.282,8.972,7.568
1.021,0.123,0.084,-2.808,7.202,9.155
1.012,0.118,0.089,-7.324,5.920,9.705
1.012,0.132,0.021,-10.498,8.728,10.803
1.007,0.099,0.038,-11.414,9.216,10.315
1.006,0.124,0.037,-9.949,6.714,10.132
1.001,0.139,0.024,-6.470,5.676,9.094
1.001,0.141,0.017,-3.296,3.845,6.714
0.999,0.180,0.031,-0.122,4.089,4.028
0.993,0.209,0.020,2.258,5.676,0.244
0.988,0.187,-0.031,5.432,2.563,-3.967
0.986,0.176,-0.049,7.202,-1.465,-7.324
0.993,0.108,0.009,9.094,-4.089,-10.620
0.992,-0.014,0.055,8.362,-8.972,-12.756
0.994,-0.052,0.054,5.676,-8.240,-9.888
1.007,-0.034,0.042,4.272,-3.906,-5.432
1.007,-0.045,0.078,2.502,-3.296,-3.174
1.002,-0.035,0.083,0.916,-4.150,-1.221
1.000,0.018,0.094,0.000,-2.197,1.709

0.504,1.540,1.420,-11.719,116.028,350.159
0.529,1.690,1.366,-11.658,150.085,318.909
0.532,1.760,1.327,-25.330,189.331,286.011
0.472,1.957,1.219,-51.453,229.126,260.986
0.339,2.043,0.889,-84.595,269.043,232.483
0.178,2.048,0.390,-113.831,301.392,196.899
0.081,2.044,0.032,-137.573,313.965,157.715
0.041,2.002,-0.229,-149.292,318.481,116.455
0.021,1.858,-0.440,-147.705,316.833,72.937
0.021,1.747,-0.449,-134.949,299.377,33.508
0.008,1.625,-0.300,-119.751,277.588,0.793
0.011,1.601,-0.144,-106.262,264.038,-27.100
0.054,1.782,-0.346,-93.506,261.902,-52.734
0.009,1.934,-0.862,-75.989,268.188,-86.121
-0.194,1.788,-1.619,-68.420,265.137,-129.272
-0.243,1.199,-1.844,-83.069,239.197,-164.246
0.026,1.349,-1.617,-110.840,184.753,-169.250
0.096,1.658,-1.156,-124.573,130.554,-169.922
0.145,1.650,-0.663,-140.686,88.745,-187.561
0.100,1.599,0.047,-171.814,69.946,-219.177
0.123,1.160,0.387,-197.815,87.219,-265.503
-0.006,0.895,0.335,-212.219,130.249,-286.682
-0.089,0.566,-0.274,-216.309,170.471,-300.110
-0.174,0.105,-1.027,-218.750,187.439,-302.856
-0.113,-0.386,-1.038,-229.187,158.264,-294.983
0.054,-0.597,-0.882,-230.896,122.131,-276.123
0.153,-0.872,-1.165,-223.755,115.173,-250.244
0.232,-1.021,-1.453,-226.440,108.948,-213.684
0.241,-1.099,-1.208,-238.159,84.717,-179.687
0.340,-0.973,-0.882,-236.023,62.256,-148.926
0.401,-0.671,-0.769,-213.562,54.565,-124.207
0.362,-0.552,-0.874,-191.406,58.655,-112.305
0.326,-0.536,-1.044,-169.617,60.669,-110.779
0.319,-0.308,-1.162,-156.921,54.138,-105.042
0.284,-0.159,-1.248,-144.592,37.720,-104.309
0.256,-0.033,-1.276,-135.010,11.414,-111.755
0.222,-0.059,-1.286,-125.122,-13.794,-124.268
0.188,-0.215,-1.309,-117.126,-36.926,-136.719
0.239,-0.539,-1.287,-107.361,-61.096,-144.775
0.158,-0.738,-1.040,-105.774,-83.557,-142.822
0.181,-0.648,-1.208,-97.839,-86.609,-129.333
0.166,-0.667,-1.271,-81.238,-96.008,-120.605
