aX,aY,aZ,gX,gY,gZ
0.421,-0.079,-1.559,-11.414,-199.341,-17.029
0.332,-0.128,-1.529,-14.832,-234.497,-18.799
0.247,-0.211,-1.284,-20.630,-270.752,-18.555
0.156,-0.309,-0.958,-29.541,-301.147,-15.381
0.096,-0.305,-0.773,-41.199,-318.481,-6.287
0.079,-0.274,-0.572,-49.011,-333.801,3.662
0.064,-0.204,-0.232,-49.927,-351.990,12.817
0.043,-0.082,0.122,-45.349,-364.136,21.790
0.000,-0.058,0.327,-34.973,-368.835,26.794
-0.049,-0.157,0.473,-18.188,-372.375,29.419
-0.078,-0.299,0.885,0.305,-381.409,36.011
-0.073,-0.229,1.251,19.958,-380.920,49.683
-0.064,-0.248,1.412,34.851,-364.929,59.021
-0.039,-0.064,1.491,40.833,-336.853,67.627
0.046,0.176,1.661,41.016,-316.406,72.266
0.131,0.404,1.893,37.842,-293.335,68.420
0.173,0.527,1.985,37.415,-267.944,56.519
0.176,0.516,1.953,36.377,-238.586,39.490
0.140,0.372,2.034,29.724,-217.163,21.912
0.104,0.253,2.054,12.512,-187.805,8.606
0.082,0.234,1.948,-13.184,-153.748,1.709
0.060,0.189,2.005,-39.490,-124.756,-3.540
0.056,0.054,2.103,-54.688,-107.056,-8.545
0.052,-0.024,2.231,-58.960,-89.111,-8.240
0.036,-0.031,2.172,-54.260,-66.162,-4.639
0.024,-0.065,2.028,-45.471,-45.471,-2.747
0.028,-0.132,2.010,-34.973,-29.236,-1.526
0.059,-0.106,2.107,-23.376,-21.606,3.357
0.093,-0.071,2.245,-9.155,-6.348,8.301
0.114,-0.038,2.200,7.385,15.198,11.047
0.138,0.005,2.033,22.522,35.522,12.512
0.162,0.017,1.985,32.959,50.049,12.573
0.186,0.040,1.987,39.734,68.726,12.390
0.194,0.062,1.876,44.495,87.097,11.719
0.181,0.085,1.613,45.837,110.474,10.254
0.186,0.041,1.393,41.931,122.864,7.385
0.203,0.020,1.356,35.095,127.014,6.531
0.237,0.021,1.392,29.114,129.211,7.812
0.255,0.002,1.410,25.879,135.132,7.629
